sample_key,sample_name,side_pressure_mpa,axial_pressure_nominal_mpa,axial_pressure_mpa,R_hs_A,eta,S_at_3e-4_A^-1,S_at_1e-3_A^-1,output_dir
0_0.1,TH6-0.1,0.0,0.1,0.7,4152.850103050385,0.08421052631578947,0.671706651560163,0.9815146246859314,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\01_0_0.1_TH6-0.1
0_1,TH6-1.0,0.0,1.0,6.8,4152.85010305038,0.08421052631578947,0.6717066515601626,0.9815146246859316,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\02_0_1_TH6-1.0
0_2,TH6-2,0.0,2.0,13.5,4152.85010305038,0.08421052631578947,0.6717066515601626,0.9815146246859316,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\03_0_2_TH6-2
0_3,TH6-3,0.0,3.0,20.3,4152.850103050385,0.08332706766917294,0.6749230295364778,0.9817360804491119,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\04_0_3_TH6-3
0_4,TH6-4,0.0,4.0,27.1,4152.850103050385,0.09216165413533835,0.6430882905073078,0.979493948234898,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\05_0_4_TH6-4
0_5,TH6-5,0.0,5.0,33.9,4152.850103050385,0.0837687969924812,0.6733139492560252,0.981625428860248,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\06_0_5_TH6-5
1.1_3,TH6-3-1.1,1.1,3.0,20.3,4152.850103050385,0.07581766917293234,0.7025428120034489,0.9835939067967687,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\07_1.1_3_TH6-3-1.1
1.1_4,TH6-4-1.1,1.1,4.0,27.1,4152.850103050385,0.08421052631578947,0.671706651560163,0.9815146246859314,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\08_1.1_4_TH6-4-1.1
1.1_6,TH6-6-1.1,1.1,6.0,40.7,4152.85010305038,0.08421052631578947,0.6717066515601626,0.9815146246859316,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\09_1.1_6_TH6-6-1.1
1.1_8,TH6-8-1.1,1.1,8.0,54.2,4152.850103050385,0.08421052631578947,0.671706651560163,0.9815146246859314,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\10_1.1_8_TH6-8-1.1
1.1_10,TH6-10-1.1,1.1,10.0,67.7,4152.85010305038,0.08421052631578947,0.6717066515601626,0.9815146246859316,D:\OneDrive\0 paper\c Zhang Tao poroelasticity\Data\PSD_parallel_20260306_160522b\11_1.1_10_TH6-10-1.1
